fault_name,length,location,sense_of_movement,time_of_movement,associated_earthquakes
Independence Valley fault system,Nevada - United States,Normal fault,Active,2008 Wells earthquake (M6.0),
Kameni-Kolumbo Fault zone,>60,Greece - South Aegean Sea,Dextral (?) Strike-slip,,
Kandi Fault Zone,West Africa,,,,
Karsdorf Fault,Germany,,,,
Kego Fault,Japan,Active,2005 Fukuoka (M7.0),,
Kefalonia Transform Fault,180,Greece - Ionian Sea,Dextral strike Slip,Active,1953 Kephalonia (M7.2)
Kermadec-Tonga Subduction Zone,New Zealand,Subduction zone,Active,,
Kern Canyon Fault,Sierra Nevada - California - United States,Thrust fault,,,
Kunlun fault,1500,Tibet,Sinistral strike-slip,Active,2001 Kunlun (M7.8)
Laguna Salada Fault,64–80,United States and Mexico,Strike-slip,Active,2010 Mexicali M7.2)
Laptev Sea Rift,Arctic Ocean,Rift zone,,,
Liquiñe-Ofqui Fault,1000,Andes - Chile,Strike-slip,,
Long Point–Eureka Heights Fault System,Texas - United States,Normal fault,,,
Longmen Shan Fault,Sichuan - China,Thrust fault,Active,2008 Sichuan (M8.0),
Lusatian Fault,Germany,Thrust fault,,,
Macquarie Fault Zone,South Pacific Ocean,Strike-slip,Active,2008 Macquarie Island earthquake (M7.1),
Magallanes–Fagnano Fault,South America,Transform,,,
Main Uralian Fault (MUF),2000+,Urals,Subduction zone,,
Marianna Fault,Arkansas - United States,,,,
Marikina Valley Fault System,Philippines,Dextral strike-slip,active,,
Marlborough Fault System,South Island - New Zealand,Dextral strike-slip,Active,1843 Wanganui (M~7.5),
Meers Fault,Oklahoma,Oblique slipe,Active,Holocene,
Mendocino Fracture Zone,California - United States,Transform,Active,,
Moab Fault,Utah - United States,Normal fault,Active,,
Mocha Fracture Zone,Mocha Island - Chile,Transform,Active,,
Motagua Fault,Guatemala,Transform,Active,1717 - 1773 - 1902 - 1976 - 1980 - 2009,
Mygdonia Graben,North Greece,Normal to strike-slip,Active,1978 Thessaloniki (M6.4),
Neodani Fault,Japan,Active,1891 Mino–Owari (M8.0),,
New Madrid Fault Zone,Missouri - United States,Normal fault,Active,1811–1812 three (M7-8),
Nootka Fault,British Columbia - Canada,Transform,Active,,
North Aegean Trough,>250,North Aegean Sea - Greece - Turkey,Dextral strike-slip,Active,1912 (M7.6); 1982 (M6.7); 2014 (M6.9)
North Anatolian Fault,Turkey,Dextral strike-slip,Active,1939 Erzincan (M7.8) - 1912 Ganos (M7.4) - 1999 Izmit (M7.4) - 1999 Düzce (M7.2),
North Ikaria Fault,>80,Central Aegean Sea - Greece,Dextral strike slip,,
North Island Fault System,500,North Island - New Zealand,Dextral strike slip,Active,
Palu-Koro Fault,500,Palu - Sigi - Donggala - Indonesia,Sinistral strike-slip,Active,2005 Bora - Sigi earthquake (M6.2) - 2018 Sulawesi earthquake (M7.5)
Periadriatic Seam,1000,Alps - Europe,Dextral strike-slip,,
Pichilemu Fault,40,Chile,Active,2010 Pichilemu (Libertador O'Higgins) (M6.9),
Pliny Trench,300,Eastern Mediterranean Sea - Hellenic Trench,Sinistral strike-slip,,
Port Hills Fault,South Island - New Zealand,Active,2011 Christchurch (M6.3),,
Pyramid Lake Fault Zone,Nevada - United States,Dextral strike-slip,,,
Ramapo Fault,300,New York - New Jersey - Pennsylvania - United States,Normal fault,Triassic to Early Jurassic,
Raymond Fault,California - United States,,,,
Red Sea Rift,Red Sea,Rift zone,,,
Reigolil-Pirihueico Fault,Andes,,,,
Rhine Rift Valley,Germany and France,Rift zone,Active,1356 Basel (M6 to 7),
Rio Grande Rift,Rio Grande Valley - United States and Mexico,Rift zone,,,
Salzach-Ennstal-Mariazell-Puchberg Fault System (SEMP),400[3],Austria,Sinistral strike-slip,,
San Andreas Fault System (Banning fault - Mission Creek fault - South Pass fault - San Jacinto fault - Elsinore fault),1300,California - United States,Dextral strike-slip,Active,1906 San Francisco (M7.7 to 8.25) - 1989 Loma Prieta (M6.9)
San Ramón Fault,Chile,Thrust fault,,,
Sawtooth Fault,Idaho - United States,Normal fault,,,
Seattle Fault,Washington - United States,Thrust fault,Active,,
Septentrional-Orient fault zone,Caribbean,Sinistral strike-slip,Active,1842 Cap-Haïtien (M8.1),
Sierra Nevada Fault,California - United States,Normal fault,Active,1872 Lone Pine (M7.4–8.3),
Skyros-Edremit Fault zone,>150,Aegean Sea - Greece - Turkey,Dextral Strike-slip,Active,1967 - 1981
Sobral Fault,Brazil,Strike-slip,,,
Sorong fault,Oceania,Sinistral strike-slip,Active,2009 Kepulauan Talaud (M7.2),
Sparta Fault,65,Peloponnese - Greece,Normal fault,Active,464 BC Sparta (M7.2)
Spili Fault,20,Crete - Greece,Normal fault,Active,
Strabo Trench,300,Eastern Mediterranean Sea - Hellenic Trench,Sinistral strike-slip,Active,
Sunda subduction megathrust,5000,South East Asia,Subduction zone,Active,2004 Banda Aceh (M9.1) - 2005 Nias (M8.6) - 2007 Bengkulu (M8.4)
Tacoma Fault,56,Washington - United States,Thrust fault,Active,
Tatsuda Fault,Japan,Active,1889 Kumamoto (M6.3),,
Tintina Fault,British Columbia - Canadato Alaska - United States,Strike-slip,Late Cretaceous to Oligocene,,
Ulakhan Fault,Siberia to Aleutian Trench,Sinistral strike-slip,Active,,
Virginia Seismic Zone,Virginia - United States,Active,2011 Virginia (M5.8),,
Wabash Valley Seismic Zone,Illinois - Indiana - United States,Normal fault,Active,2008 Illinois (M5.4),
Wasatch Fault,Utah - United States,Normal fault,Active,,
Wellington Fault,North Island - New Zealand,Dextral strike-slip,Active,,
Wairarapa Fault,North Island - New Zealand,Dextral strike-slip,Active,1855 Wairarapa (M8.2),
Wairau Fault,South Island - New Zealand,Dextral strike-slip,Active,,
Wilzetta Fault,89,Oklahoma - United States,Strike-slip,Active,2011 Oklahoma (M5.6)
